ObjektNr;Objektname;Baustelle;BaustPLZ;BaustOrt;BaustKanton;BaustBezirk;ReferenzNr;Kurzbeschreibung;Baustadium;BaustadiumDatum;BaustadiumAlt;BaustadiumDatumAlt;Baukosten;Baubeginn;Bauende;AnzWhg;Hauptkategorie;KatCode01;KatText01;KatCode02;KatText02;KatCode03;KatText03;KatCode04;KatText04;KatCode05;KatText05;KatCode06;KatText06;KatCode07;KatText07;KatCode08;KatText08;KatCode09;KatText09;KatCode10;KatText10
3274402;Neubau Gewerbetrakt;Industrie Haslen;9245;Oberbüren;SG;Wil;Gst. 991, 992, 1789, 1951;Neubau Gewerbetrakt;Baubewilligung erteilt;22.10.2024;Baugesuch eingereicht;02.02.2024;25.00 Mio CHF;;;;Industrie und Gewerbe;310;Lagerhallen;370;Industrielle Produktionsbauten;380;Betriebs- und Gewerbebauten;640;Bürobauten mit erhöhten Anforderungen;1130;Kantinen;;;;;;;;;;
3274560;Abbruch Wohnhaus mit Scheue/Stall;Heiterswil 2263;9630;Wattwil;SG;Toggenburg;Gst. 1486;Abbruch Wohnhaus mit Scheue/Stall;Baubewilligung erteilt;13.11.2024;Baugesuch eingereicht;31.01.2024;0.06 Mio CHF;im Jahr 2025;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;;;;;
3275530;Sanierung Milchviehlaufstall und Neubau Anbau;Girtannen 259;9044;Wald AR;AR;Vorderland;Parz. 41;Sanierung Milchviehlaufstall und Neubau Anbau sowie Neubau Jauchegrube (L-Zone);Baubewilligung erteilt;17.06.2024;Baugesuch eingereicht;09.02.2024;0.25 Mio CHF;;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;430;Stallungen und landwirtschaftliche Produktionsanlagen;480;Jauchegrube;;;;;;;;;;;;;;
3275701;Anbau Milchviehstall und eckige Jauchegrube;Homberg 356;9125;Brunnadern;SG;Toggenburg;Gst. 216;Anbau Milchviehstall und eckige Jauchegrube;Baubewilligung erteilt;12.11.2024;Baugesuch eingereicht;07.02.2024;1.00 Mio CHF;Februar / März 2025;Jul 25;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;480;Jauchegrube;;;;;;;;;;;;;;;;
3275702;Erstellung von Schutzbauten;Chienbergstrasse;9463;Oberriet SG;SG;Rheintal;Gst. 781, 880, 879, 800, 799, 779, 780, 797, 798;Erstellung von Schutzbauten;Baubewilligung erteilt;11.04.2024;Baugesuch eingereicht;09.02.2024;0.50 Mio CHF;Apr 24;;;Brücken- und Wasserbauten;4310;Stützmauern;;;;;;;;;;;;;;;;;;
3275706;Umbau/Umnutzung Ausstellungshalle zu Produktionshalle;Unterlettenstrasse 16;9443;Widnau;SG;Rheintal;Parz. 2912;Umbau/Umnutzung Ausstellungshalle zu Produktionshalle (Unternehmer bestimmt/wünschen keine Offertanfragen);Baubewilligung erteilt;14.05.2024;Baugesuch eingereicht;07.02.2024;1.50 Mio CHF;06.05.2024;ca. Ende Oktober 2024;;Industrie und Gewerbe;370;Industrielle Produktionsbauten;;;;;;;;;;;;;;;;;;
3275714;Mieterausbau zum Kinderwunschzentrum;Langäulistrasse 9;9470;Buchs SG;SG;Werdenberg;Gst. 2713;Mieterausbau zum Kinderwunschzentrum;Baubewilligung erteilt;20.06.2024;Baugesuch eingereicht;02.02.2024;0.83 Mio CHF;;;;Industrie und Gewerbe;380;Betriebs- und Gewerbebauten;;;;;;;;;;;;;;;;;;
3275716;Abbruch Montagehalle;Wilerstrassse 1692;9230;Flawil;SG;Wil;Parz. 1206;Abbruch Montagehalle;Baubewilligung erteilt;29.08.2024;Baugesuch eingereicht;23.02.2024;0.10 Mio CHF;;;;Industrie und Gewerbe;370;Industrielle Produktionsbauten;;;;;;;;;;;;;;;;;;
3275717;Erweiterung Bahntechnikgebäude;Walenseestrasse;8880;Walenstadt;SG;Sarganserland;Gst. 212;Erweiterung Bahntechnikgebäude;Baubewilligung erteilt;16.05.2024;Baugesuch eingereicht;05.02.2024;0.70 Mio CHF;;;;Verkehrsanlagen;1350;Bahnhöfe und Bahnbetriebsbauten, Seilbahnstationen;;;;;;;;;;;;;;;;;;
3275718;Abbruch Einfamilienhaus;Flurstrasse 9;9030;Abtwil SG;SG;St. Gallen;Gst. 1370;Abbruch Einfamilienhaus (Unternehmer bestimmt);Baubewilligung erteilt;17.05.2024;Baugesuch eingereicht;05.02.2024;0.03 Mio CHF;Mai 2024 (bereits erfolgt);;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3275720;Abbruch Einfamilienhaus;Heidenerstrasse 61;9404;Rorschacherberg;SG;Rorschach;Gst. 1841, 765;Abbruch Einfamilienhaus;Baubewilligung erteilt;08.10.2024;Baugesuch eingereicht;05.02.2024;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3275722;Erweiterung Swidro-Drogerie;Staatsstrasse 66a;9472;Grabs;SG;Werdenberg;Parz. 1402;Erweiterung Swidro-Drogerie;Baubewilligung erteilt;16.05.2024;Baugesuch eingereicht;05.02.2024;0.50 Mio CHF;;;;Handel und Verwaltung;610;Ladenbauten;;;;;;;;;;;;;;;;;;
