Anlieferungsdatum,Gewicht in Tonnen
2020-01-18 00:00:00+00:00,619.26
2020-01-19 00:00:00+00:00,603.36
2020-01-20 00:00:00+00:00,587.46
2020-01-21 00:00:00+00:00,1506.68
2020-01-22 00:00:00+00:00,1994.86
2020-01-23 00:00:00+00:00,1732.96
2020-01-24 00:00:00+00:00,1323.24
2020-01-25 00:00:00+00:00,1159.6533333333334
2020-01-26 00:00:00+00:00,996.0666666666666
2020-01-27 00:00:00+00:00,832.48
2020-01-28 00:00:00+00:00,388.15999999999997
2020-01-29 00:00:00+00:00,267.66
2020-01-30 00:00:00+00:00,1476.16
2020-01-31 00:00:00+00:00,2280.44
2020-02-01 00:00:00+00:00,1604.9266666666667
2020-02-02 00:00:00+00:00,929.4133333333334
2020-02-03 00:00:00+00:00,253.9
2020-02-04 00:00:00+00:00,175.94
2020-02-05 00:00:00+00:00,428.94
2020-02-06 00:00:00+00:00,1799.98
2020-02-07 00:00:00+00:00,2386.16
2020-02-08 00:00:00+00:00,1817.0333333333333
2020-02-09 00:00:00+00:00,1247.9066666666665
2020-02-10 00:00:00+00:00,678.78
2020-02-11 00:00:00+00:00,256.18
2020-02-12 00:00:00+00:00,373.88
2020-02-13 00:00:00+00:00,1239.66
2020-02-14 00:00:00+00:00,479.08
2020-02-15 00:00:00+00:00,684.3466666666667
2020-02-16 00:00:00+00:00,889.6133333333335
2020-02-17 00:00:00+00:00,1094.88
2020-02-18 00:00:00+00:00,1561.96
2020-02-19 00:00:00+00:00,1679.18
2020-02-20 00:00:00+00:00,2006.54
2020-02-21 00:00:00+00:00,1760.88
2020-02-22 00:00:00+00:00,2151.1066666666666
2020-02-23 00:00:00+00:00,2541.3333333333335
2020-02-24 00:00:00+00:00,2931.56
2020-02-25 00:00:00+00:00,1636.12
2020-02-26 00:00:00+00:00,238.04
2020-02-27 00:00:00+00:00,248.34
2020-02-28 00:00:00+00:00,597.04
2020-02-29 00:00:00+00:00,800.14
2020-03-01 00:00:00+00:00,1003.24
2020-03-02 00:00:00+00:00,1206.34
2020-03-03 00:00:00+00:00,1430.94
2020-03-04 00:00:00+00:00,1329.36
2020-03-05 00:00:00+00:00,459.98
2020-03-06 00:00:00+00:00,332.32
2020-03-07 00:00:00+00:00,391.26
2020-03-08 00:00:00+00:00,450.2
2020-03-09 00:00:00+00:00,509.14
2020-03-10 00:00:00+00:00,941.58
2020-03-11 00:00:00+00:00,1498.82
2020-03-12 00:00:00+00:00,1464.92
2020-03-13 00:00:00+00:00,526.56
2020-03-14 00:00:00+00:00,800.6733333333333
2020-03-15 00:00:00+00:00,1074.7866666666666
2020-03-16 00:00:00+00:00,1348.9
2020-03-17 00:00:00+00:00,2947.24
2020-03-18 00:00:00+00:00,2409.7
2020-03-19 00:00:00+00:00,989.2
2020-03-20 00:00:00+00:00,832.64
2020-03-21 00:00:00+00:00,995.4933333333333
2020-03-22 00:00:00+00:00,1158.3466666666668
2020-03-23 00:00:00+00:00,1321.2
2020-03-24 00:00:00+00:00,1753.79
2020-03-25 00:00:00+00:00,1517.58
2020-03-26 00:00:00+00:00,1331.54
2020-03-27 00:00:00+00:00,1164.6
2020-03-28 00:00:00+00:00,962.7333333333332
2020-03-29 00:00:00+00:00,760.8666666666666
2020-03-30 00:00:00+00:00,559.0
2020-03-31 00:00:00+00:00,918.34
2020-04-01 00:00:00+00:00,1365.62
2020-04-02 00:00:00+00:00,1942.84
2020-04-03 00:00:00+00:00,1805.62
2020-04-04 00:00:00+00:00,1633.1133333333332
2020-04-05 00:00:00+00:00,1460.6066666666666
2020-04-06 00:00:00+00:00,1288.1
2020-04-07 00:00:00+00:00,1476.86
2020-04-08 00:00:00+00:00,1555.58
2020-04-09 00:00:00+00:00,747.06
2020-04-10 00:00:00+00:00,725.2199999999999
2020-04-11 00:00:00+00:00,703.38
2020-04-12 00:00:00+00:00,681.54
2020-04-13 00:00:00+00:00,659.7
2020-04-14 00:00:00+00:00,637.86
2020-04-15 00:00:00+00:00,866.26
2020-04-16 00:00:00+00:00,1213.5
2020-04-17 00:00:00+00:00,1249.24
2020-04-18 00:00:00+00:00,1253.49
2020-04-19 00:00:00+00:00,1257.74
2020-04-20 00:00:00+00:00,1261.99
2020-04-21 00:00:00+00:00,1354.56
2020-04-22 00:00:00+00:00,949.28
2020-04-23 00:00:00+00:00,986.7
2020-04-24 00:00:00+00:00,784.46
2020-04-25 00:00:00+00:00,830.6466666666666
2020-04-26 00:00:00+00:00,876.8333333333334
2020-04-27 00:00:00+00:00,923.02
2020-04-28 00:00:00+00:00,1464.98
2020-04-29 00:00:00+00:00,824.74
2020-04-30 00:00:00+00:00,1491.88
2020-05-01 00:00:00+00:00,1284.46
2020-05-02 00:00:00+00:00,1362.3533333333335
2020-05-03 00:00:00+00:00,1440.2466666666667
2020-05-04 00:00:00+00:00,1518.14
2020-05-05 00:00:00+00:00,373.64
2020-05-06 00:00:00+00:00,1396.36
2020-05-07 00:00:00+00:00,1266.32
2020-05-08 00:00:00+00:00,1373.8
2020-05-09 00:00:00+00:00,1277.2266666666667
2020-05-10 00:00:00+00:00,1180.6533333333332
2020-05-11 00:00:00+00:00,1084.08
2020-05-12 00:00:00+00:00,2725.28
2020-05-13 00:00:00+00:00,2416.46
2020-05-14 00:00:00+00:00,901.58
2020-05-15 00:00:00+00:00,386.6
2020-05-16 00:00:00+00:00,914.1333333333333
2020-05-17 00:00:00+00:00,1441.6666666666665
2020-05-18 00:00:00+00:00,1969.2
2020-05-19 00:00:00+00:00,1224.9
2020-05-20 00:00:00+00:00,849.74
2020-05-21 00:00:00+00:00,892.692
2020-05-22 00:00:00+00:00,935.644
2020-05-23 00:00:00+00:00,978.596
2020-05-24 00:00:00+00:00,1021.548
2020-05-25 00:00:00+00:00,1064.5
2020-05-26 00:00:00+00:00,1307.22
2020-05-27 00:00:00+00:00,1243.22
2020-05-28 00:00:00+00:00,1907.74
2020-05-29 00:00:00+00:00,1141.84
2020-05-30 00:00:00+00:00,1129.545
2020-05-31 00:00:00+00:00,1117.25
2020-06-01 00:00:00+00:00,1104.955
2020-06-02 00:00:00+00:00,1092.66
2020-06-03 00:00:00+00:00,1523.5
2020-06-04 00:00:00+00:00,652.22
2020-06-05 00:00:00+00:00,1508.42
2020-06-06 00:00:00+00:00,1685.06
2020-06-07 00:00:00+00:00,1861.7
2020-06-08 00:00:00+00:00,2038.34
2020-06-09 00:00:00+00:00,1087.76
2020-06-10 00:00:00+00:00,934.2
2020-06-11 00:00:00+00:00,739.02
2020-06-12 00:00:00+00:00,1813.31
2020-06-13 00:00:00+00:00,2185.9466666666667
2020-06-14 00:00:00+00:00,2558.583333333333
2020-06-15 00:00:00+00:00,2931.22
2020-06-16 00:00:00+00:00,1750.5
2020-06-17 00:00:00+00:00,2107.54
2020-06-18 00:00:00+00:00,2059.38
2020-06-19 00:00:00+00:00,1173.56
2020-06-20 00:00:00+00:00,1338.4533333333334
2020-06-21 00:00:00+00:00,1503.3466666666666
2020-06-22 00:00:00+00:00,1668.24
2020-06-23 00:00:00+00:00,1038.12
2020-06-24 00:00:00+00:00,926.4
2020-06-25 00:00:00+00:00,982.16
2020-06-26 00:00:00+00:00,665.62
2020-06-27 00:00:00+00:00,604.5266666666666
2020-06-28 00:00:00+00:00,543.4333333333333
2020-06-29 00:00:00+00:00,482.34
2020-06-30 00:00:00+00:00,1717.32
2020-07-01 00:00:00+00:00,1522.32
2020-07-02 00:00:00+00:00,1413.66
2020-07-03 00:00:00+00:00,822.74
2020-07-04 00:00:00+00:00,1574.4533333333334
2020-07-05 00:00:00+00:00,2326.166666666667
2020-07-06 00:00:00+00:00,3077.88
2020-07-07 00:00:00+00:00,1475.34
2020-07-08 00:00:00+00:00,1026.5
2020-07-09 00:00:00+00:00,1589.96
2020-07-10 00:00:00+00:00,1345.16
2020-07-11 00:00:00+00:00,1300.3600000000001
2020-07-12 00:00:00+00:00,1255.56
2020-07-13 00:00:00+00:00,1210.76
2020-07-14 00:00:00+00:00,1259.28
2020-07-15 00:00:00+00:00,1689.84
2020-07-16 00:00:00+00:00,906.14
2020-07-17 00:00:00+00:00,291.86
2020-07-18 00:00:00+00:00,756.7
2020-07-19 00:00:00+00:00,1221.54
2020-07-20 00:00:00+00:00,1686.38
2020-07-21 00:00:00+00:00,913.06
2020-07-22 00:00:00+00:00,802.38
2020-07-23 00:00:00+00:00,1051.08
2020-07-24 00:00:00+00:00,787.96
2020-07-25 00:00:00+00:00,659.4333333333334
2020-07-26 00:00:00+00:00,530.9066666666668
2020-07-27 00:00:00+00:00,402.38
2020-07-28 00:00:00+00:00,821.04
2020-07-29 00:00:00+00:00,483.14
2020-07-30 00:00:00+00:00,1607.76
2020-07-31 00:00:00+00:00,1306.97
2020-08-01 00:00:00+00:00,940.1866666666667
2020-08-02 00:00:00+00:00,573.4033333333334
2020-08-03 00:00:00+00:00,206.62
2020-08-04 00:00:00+00:00,194.72
2020-08-05 00:00:00+00:00,2061.36
2020-08-06 00:00:00+00:00,1208.02
2020-08-07 00:00:00+00:00,1121.16
2020-08-08 00:00:00+00:00,1095.7533333333333
2020-08-09 00:00:00+00:00,1070.3466666666668
2020-08-10 00:00:00+00:00,1044.94
2020-08-11 00:00:00+00:00,1968.3799999999999
2020-08-12 00:00:00+00:00,1820.6
2020-08-13 00:00:00+00:00,1708.6200000000001
2020-08-14 00:00:00+00:00,2115.48
2020-08-15 00:00:00+00:00,2164.16
2020-08-16 00:00:00+00:00,2212.84
